playerid,Year,Name,AAV,Position,Age,Bats,Throws,Team,IP,WAR,Wins,Losses,Saves,Games,Games Started,ERA,FIP,xFIP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB%,vFA
9073,Career,Kirby Yates,"4,500,000",RP,38,L,R,TEX,411.1,6.7,26,21,95,422,0,3.17,3.51,3.4,12.49,3.59,1.18,0.27,80%,39%,13.40%,93.7
12049,Career,Kyle Hendricks,"13,875,000",SP,35,R,R,CHC,1580.1,25.4,97,81,0,276,270,3.68,3.9,4.02,7.17,2.07,1.05,0.283,74%,46%,11.90%,87.7
13470,Career,Lucas Sims,"2,850,000",RP,31,R,R,BOS,306,2.5,22,19,12,245,14,4.5,4.5,4.82,10.38,4.68,1.24,0.266,72%,31%,11.30%,93.8
6984,Career,Luis García,"4,250,000",RP,38,R,R,BOS,352,5.9,28,19,0,69,63,3.61,3.79,3.94,9.31,2.86,1.18,0.274,76%,37%,11.50%,93.7
15890,Career,Luis Severino,"13,000,000",SP,31,R,R,NYM,909.1,16.1,65,44,0,172,156,3.81,3.82,3.62,9.39,2.72,1.19,0.289,74%,45%,14.10%,96.9
6902,Career,Martín Pérez,"8,000,000",SP,34,L,L,SDP,1575.2,16.3,90,87,0,314,269,4.44,4.45,4.5,6.33,3.24,1.06,0.309,71%,49%,12.20%,93.3
12863,Career,Matt Barnes,"1,500,000",RP,35,R,R,WSN,466.1,5.2,33,30,47,467,3,4.21,3.62,3.63,11.31,4.13,1.02,0.319,73%,46%,12.70%,96
1890,Career,Matt Moore,"9,000,000",RP,36,L,L,LAA,1142.2,9.5,71,66,6,369,164,4.39,4.38,4.61,8.29,3.83,1.18,0.293,72%,38%,10.80%,93.3
15440,Career,Matthew Boyd,"740,000",SP,34,L,L,CLE,908.1,11.1,46,69,0,182,168,4.85,4.58,4.58,8.83,2.91,1.56,0.296,70%,35%,13.40%,91.9
13743,Career,Max Fried,"15,000,000",SP,31,L,L,ATL,884.1,18.9,73,36,0,168,151,3.07,3.29,3.35,8.78,2.5,0.77,0.295,76%,54%,12.30%,93.8
3137,Career,Max Scherzer,"43,333,333",SP,40,R,R,TEX,2878,73.2,216,112,0,466,457,3.16,3.18,3.33,10.65,2.36,1.05,0.287,78%,37%,10.60%,94.3
14843,Career,Michael Lorenzen,"4,500,000",SP,33,R,R,KCR,854.1,6.6,47,44,15,368,93,3.99,4.41,4.43,7.36,3.67,1.05,0.277,75%,46%,12.40%,95.1
18383,Career,Michael Soroka,"3,000,000",SP,27,R,R,CHW,326,4.9,17,18,0,69,52,3.67,4.09,4.11,7.84,3.06,1.02,0.283,74%,48%,13.40%,93.1
15684,Career,Miguel Castro,"3,500,000",RP,30,R,R,ARI,460.2,0.3,22,28,14,419,4,4.2,4.7,4.7,8.01,4.55,1.13,0.271,74%,48%,13.30%,95.8
12808,Career,Mike Clevinger,"4,000,000",SP,34,R,R,CHW,804,14.2,60,42,0,156,142,3.51,3.92,4.22,9.17,3.26,1.1,0.28,78%,37%,10.90%,94
15454,Career,Nick Pivetta,"7,500,000",SP,32,R,R,BOS,1029.1,11.9,56,71,3,223,178,4.76,4.36,3.97,9.96,3.3,1.53,0.301,72%,40%,15.50%,94.5
9323,Career,Patrick Corbin,"23,333,333",SP,35,L,L,WSN,1892.1,24.9,103,131,2,342,324,4.51,4.13,3.84,8.22,2.75,1.25,0.318,71%,47%,15.00%,92.1
13892,Career,Paul Sewald,"7,350,000",RP,35,R,R,ARI,376.1,3.9,20,25,84,359,0,4.09,3.76,4.02,10.76,3.01,1.29,0.273,71%,29%,11.30%,91.8
13273,Career,Ross Stripling,"12,500,000",SP,35,R,R,OAK,846.1,9.5,40,54,4,248,129,4.17,4.06,3.91,7.88,2.09,1.32,0.297,73%,44%,14.00%,91.8
16350,Career,Ryan Borucki,"1,600,000",RP,31,L,L,PIT,221.1,1.4,14,9,0,148,21,4.23,4.35,4.49,7.4,3.29,1.1,0.278,70%,47%,11.90%,82.4
16502,Career,Ryan Yarbrough,"3,900,000",RP,33,R,L,TOR,768,6.6,53,40,3,196,68,4.21,4.24,4.53,7.02,2.07,1.16,0.279,71%,39%,11.20%,87.9
15947,Career,Ryne Stanek,"4,000,000",RP,33,R,R,NYM,402.1,2.8,17,17,11,401,56,3.65,4.14,4.44,10.58,4.47,1.21,0.271,77%,33%,11.20%,97.9
10591,Career,Scott Alexander,"2,250,000",RP,35,L,L,OAK,309.1,2.4,20,15,10,328,13,3.2,3.68,3.63,6.75,3.26,0.58,0.292,74%,67%,13.70%,91.9
14993,Career,Scott Barlow,"6,700,000",RP,32,R,R,CLE,387,5.9,23,21,58,365,0,3.49,3.39,3.74,10.72,3.81,0.81,0.303,75%,43%,10.10%,93.9
16943,Career,Sean Newcomb,"1,000,000",RP,32,L,L,OAK,431,2.7,28,25,2,175,60,4.51,4.47,4.61,9.15,4.93,1.09,0.296,73%,43%,12.30%,93.8
19427,Career,Shane Bieber,"13,125,000",SP,30,R,R,CLE,843,21.5,62,32,0,136,134,3.22,3.09,3.11,10.23,2.01,1,0.305,77%,46%,13.10%,92.7
12857,Career,Shawn Armstrong,"2,050,000",RP,34,R,R,CHC,347.1,3.2,11,8,8,299,16,4.15,3.89,4.29,9.33,3.11,1.09,0.309,73%,38%,10.40%,93.9
10197,Career,Shelby Miller,"3,250,000",RP,34,R,R,DET,875.2,7.7,47,66,3,254,133,4.11,4.18,4.41,7.55,3.54,1.01,0.283,72%,42%,9.80%,94.3
31839,Career,Shintaro Fujinami,"3,350,000",RP,31,R,R,NYM,79,0.2,7,8,2,64,7,7.18,4.61,5.05,9.46,5.13,1.03,0.3,53%,40%,9.80%,98.5
16207,Career,Spencer Turnbull,"2,000,000",SP,32,R,R,PHI,356.2,6.7,15,29,0,78,67,4.26,3.83,4.36,8.53,3.51,0.76,0.3,69%,50%,9.50%,93.8
13580,Career,Steven Okert,"1,062,500",RP,33,L,L,MIN,229.2,0.5,15,11,1,272,3,3.92,4.34,4.48,9.91,3.76,1.29,0.266,76%,31%,11.70%,93.2
3237,Career,T.J. McFarland,"1,500,000",RP,36,L,L,OAK,530.2,0.9,26,20,1,433,3,4.1,4.16,4.08,5.39,2.9,0.8,0.314,71%,62%,13.10%,91.3
17586,Career,Tanner Scott,"5,700,000",RP,30,R,L,SDP,368.2,6.5,31,24,55,383,0,3.56,3.35,3.38,11.86,4.93,0.68,0.314,73%,50%,12.20%,96.9
16814,Career,Tim Hill,"740,000",RP,35,R,L,NYY,322.1,1.4,20,14,4,382,0,3.99,4.11,4.04,6.67,2.88,0.84,0.3,68%,62%,13.60%,91.3
11384,Career,Tommy Kahnle,"5,750,000",RP,35,R,R,NYY,373.2,3.8,10,14,8,390,0,3.47,3.62,3.49,10.89,4.17,0.96,0.276,72%,49%,13.60%,96.4
15046,Career,Trevor Gott,"1,500,000",RP,32,R,R,OAK,243.2,0.6,16,15,6,255,0,4.65,4.24,4.47,8.2,3.25,1.11,0.288,67%,45%,11.40%,94.7
19309,Career,Trevor Richards,"2,150,000",RP,32,R,R,MIN,560,3.7,24,28,2,290,61,4.5,4.29,4.47,9.82,3.99,1.3,0.287,72%,34%,12.10%,91.8
16977,Career,Trevor Williams,"6,500,000",SP,33,R,R,WSN,926.1,9.2,50,55,1,202,161,4.3,4.53,4.6,7.38,2.93,1.31,0.299,73%,42%,12.80%,91.4
10058,Career,Tyler Matzek,"1,550,000",RP,34,L,L,ATL,285.1,3.2,16,21,1,168,24,3.72,3.81,4.3,8.58,4.48,0.66,0.29,75%,43%,7.60%,94.3
19374,Career,Walker Buehler,"8,025,000",SP,30,R,R,LAD,713.2,15,47,22,0,131,122,3.27,3.5,3.58,9.51,2.4,1.06,0.273,75%,45%,12.90%,96.1
8048,Career,Will Smith,"5,000,000",RP,35,R,L,KCR,652.1,7.3,33,45,114,618,17,3.85,3.7,3.69,10.32,3.28,1.16,0.296,72%,38%,12.20%,92.8
12095,Career,Yimi García,"5,500,000",RP,34,R,R,SEA,398.1,3.4,22,29,26,414,1,3.59,3.87,3.87,9.74,2.17,1.36,0.261,72%,36%,12.70%,94.9
20633,Career,Yusei Kikuchi,"12,000,000",SP,34,L,L,HOU,809.2,7.5,41,47,1,166,154,4.57,4.53,3.98,9.3,3.13,1.57,0.304,73%,44%,17.30%,94.7
